DATE_KEY,Meta,Meta-1,Meta-2,Meta-3,Display ads,Google,Perf max,Shopping,Video ads,new_customers
2020-06-01,,,,,1207.038086,2059.360008,,3823.02,523.69201,2.0
2020-06-02,,,,,646.698499,1553.58,,2722.639996,285.36062499999997,3.0
2020-06-03,,,,,344.834743,1636.180002,,4006.600004,,2.0
2020-06-04,,,,,1399.519626,1466.690007,,4238.270008,,4.0
2020-06-05,,,,,1448.417069,1416.439994,,3791.609998,,12.0
2020-06-06,,,,,1600.1964930000001,1542.410012,,3705.459999,,18.0
2020-06-07,,,,,1668.096194,1425.105201,,3633.809999,,18.0
2020-06-08,,,,,943.167099,1487.739999,,3273.289989,,25.0
2020-06-09,,,,,946.621496,1489.039999,,3454.6500109999997,,27.0
2020-06-10,,,,,768.626156,1290.08585,,3767.809995,2.715767,20.0
2020-06-11,,,,,707.422284,1401.160532,,3650.730003,2.787656,30.0
2020-06-12,,,,,713.008781,1250.11944,,3602.099992,2.663589,26.0
2020-06-13,,,,,661.775618,1342.522577,,4120.670005,3.037976,33.0
2020-06-14,,,,,750.9034359999999,1357.038685,,3885.819997,2.466346,37.0
2020-06-15,,,,,704.986721,1452.392746,,3528.260001,1.491331,31.0
2020-06-16,5991.064043385645,,,,819.305942,1422.968796,,2927.43001,3.133392,17.0
2020-06-17,5978.915390294242,5991.064043385645,,,772.406167,1356.470828,,3019.419995,2.791557,36.0
2020-06-18,5922.661244107563,5978.915390294242,5991.064043385645,,928.837211,1483.339983,,2790.399999,0.27320999999999995,13.0
2020-06-19,6189.133237685191,5922.661244107563,5978.915390294242,5991.064043385645,906.991006,1711.469994,,3062.419994,,8.0
2020-06-20,8232.553526762624,6189.133237685191,5922.661244107563,5978.915390294242,934.31378,1407.039998,,3128.059993,,5.0
2020-06-21,8450.36661691038,8232.553526762624,6189.133237685191,5922.661244107563,1024.121521,1528.57999,,3216.990008,,4.0
2020-06-22,8363.150711551214,8450.36661691038,8232.553526762624,6189.133237685191,1035.74755,1589.149989,,2504.319996,,6.0
2020-06-23,8230.851294108088,8363.150711551214,8450.36661691038,8232.553526762624,863.336649,1446.389999,,2370.399991,,7.0
2020-06-24,8432.675765903747,8230.851294108088,8363.150711551214,8450.36661691038,897.257435,1537.099991,,2069.569999,,2.0
2020-06-25,10434.02712195253,8432.675765903747,8230.851294108088,8363.150711551214,980.84515,1523.52001,,2053.010006,,36.0
2020-06-26,11094.218482974045,10434.02712195253,8432.675765903747,8230.851294108088,1117.919495,2116.07999,,2640.070005,,16.0
2020-06-27,12174.664668756417,11094.218482974045,10434.02712195253,8432.675765903747,1294.168805,2509.619995,,3401.000009,,16.0
2020-06-28,12834.049837857447,12174.664668756417,11094.218482974045,10434.02712195253,1397.090013,2650.459997,,3396.289993,,12.0
2020-06-29,12320.552332406298,12834.049837857447,12174.664668756417,11094.218482974045,1336.272919,2750.310004,,3174.709999,,13.0
2020-06-30,12729.545993216254,12320.552332406298,12834.049837857447,12174.664668756417,1396.6769630000001,2220.289998,,3014.819997,,13.0
2020-07-01,12372.596520301151,12729.545993216254,12320.552332406298,12834.049837857447,1403.548117,2680.700002,,3341.360003,,18.0
2020-07-02,11578.813302577435,12372.596520301151,12729.545993216254,12320.552332406298,1402.450945,2827.649999,,3324.560004,,18.0
2020-07-03,11499.339962249733,11578.813302577435,12372.596520301151,12729.545993216254,1383.834509,2705.5000059999998,,3866.400004,,14.0
2020-07-04,11677.300067758502,11499.339962249733,11578.813302577435,12372.596520301151,1484.567354,2252.010007,,3626.5699879999997,,10.0
2020-07-05,11700.15958627079,11677.300067758502,11499.339962249733,11578.813302577435,1744.464887,2035.0199929999999,,4069.029997,,16.0
2020-07-06,11220.733158503333,11700.15958627079,11677.300067758502,11499.339962249733,2221.180319,1834.7528009999999,,3847.529996,,18.0
2020-07-07,11231.214165803029,11220.733158503333,11700.15958627079,11677.300067758502,1993.547576,1822.819999,,4474.11,,17.0
2020-07-08,11075.482825468802,11231.214165803029,11220.733158503333,11700.15958627079,2501.371568,1772.080001,,4258.810003,,15.0
2020-07-09,10234.801368693945,11075.482825468802,11231.214165803029,11220.733158503333,2623.958583,1769.099997,,4566.61,,12.0
2020-07-10,10507.25983855006,10234.801368693945,11075.482825468802,11231.214165803029,1692.162264,1745.760008,,4633.040002,,221.0
2020-07-11,12276.353171195458,10507.25983855006,10234.801368693945,11075.482825468802,2474.329981,1783.140012,,5458.039999,100.637261,51.0
2020-07-12,12350.514197677165,12276.353171195458,10507.25983855006,10234.801368693945,2074.294922,1817.51,,5469.900001,103.988517,37.0
2020-07-13,10419.547253162864,12350.514197677165,12276.353171195458,10507.25983855006,1525.300185,1683.679991,,4438.499994,109.069911,46.0
2020-07-14,9638.238588613964,10419.547253162864,12350.514197677165,12276.353171195458,1316.549481,1643.609997,,4473.34001,105.960472,33.0
2020-07-15,8751.816177185736,9638.238588613964,10419.547253162864,12350.514197677165,2096.178306,1435.816185,,4970.599996,108.794578,29.0
2020-07-16,8638.370684797588,8751.816177185736,9638.238588613964,10419.547253162864,2219.491755,1553.651803,,4630.970001,105.723786,29.0
2020-07-17,8264.416949147078,8638.370684797588,8751.816177185736,9638.238588613964,1819.959497,1605.887896,,5130.7600059999995,103.414171,30.0
2020-07-18,8776.591044155912,8264.416949147078,8638.370684797588,8751.816177185736,1794.330984,1717.7818260000001,,5200.970001,101.634449,30.0
2020-07-19,8648.621576654845,8776.591044155912,8264.416949147078,8638.370684797588,1984.30247,1725.261558,,4962.210003,102.354607,41.0
